X,Y,Z
-0.0351563,0.258286,-2.00533
-0.0273438,0.261692,-2.00448
-0.0345297,0.258301,-2.00538
-0.0195313,0.265223,-2.00353
-0.000351088,0.258301,-2.00538
0.00390625,0.258082,-2.00456
0.0117188,0.257958,-2.0041
0.0195313,0.258168,-2.00489
0.0234566,0.258301,-2.00538
-0.138411,0.250755,-2.00741
-0.136719,0.250432,-2.0062
-0.136719,0.253745,-2.00661
-0.128906,0.249673,-2.00337
-0.121094,0.249335,-2.00211
-0.113281,0.249201,-2.00161
-0.105469,0.249135,-2.00136
-0.0976563,0.24912,-2.0013
-0.0898438,0.249381,-2.00228
-0.0820313,0.249721,-2.00355
-0.0742188,0.250097,-2.00495
-0.0664063,0.250306,-2.00573
-0.0585938,0.250658,-2.00704
-0.0507813,0.257502,-2.0056
-0.0561487,0.250755,-2.00741
-0.0429688,0.257608,-2.00557
-0.0351563,0.258092,-2.00544
0.00273642,0.250755,-2.00741
0.00390625,0.25068,-2.00712
0.0117188,0.250506,-2.00648
0.0195313,0.250505,-2.00647
0.0273438,0.250563,-2.00669
0.0273438,0.254975,-2.00628
0.0351563,0.250481,-2.00638
0.0351563,0.255078,-2.00625
0.0429688,0.250503,-2.00647
0.0429688,0.253855,-2.00658
0.0507813,0.250551,-2.00665
0.0507813,0.252832,-2.00685
0.0551897,0.250755,-2.00741
-0.14626,0.243209,-2.00943
-0.144531,0.242884,-2.00822
-0.144531,0.245094,-2.00892
-0.136719,0.241936,-2.00468
-0.128906,0.241346,-2.00248
-0.126317,0.241187,-2.00188
-0.121094,0.243864,-2.00117
-0.113281,0.244795,-2.00092
-0.105469,0.24403,-2.00112
-0.0976563,0.242709,-2.00147
-0.094776,0.241187,-2.00188
-0.0898438,0.241339,-2.00245
-0.0820313,0.241792,-2.00414
-0.0742188,0.242282,-2.00597
-0.0664063,0.242627,-2.00726
-0.0585938,0.242997,-2.00864
-0.0542586,0.243209,-2.00943
0.00390625,0.248483,-2.00802
0.00608083,0.243209,-2.00943
0.0117188,0.242767,-2.00778
0.0195313,0.242828,-2.00801
0.0273438,0.242588,-2.00711
0.0351563,0.242547,-2.00696
0.0429688,0.242406,-2.00643
0.0507813,0.242421,-2.00649
0.0585938,0.242508,-2.00681
0.0585938,0.249379,-2.00778
0.0664063,0.242889,-2.00824
0.0664063,0.245665,-2.00877
0.0720746,0.243209,-2.00943
-0.621094,0.237262,-2.01102
-0.623971,0.233641,-2.0039
-0.621094,0.234985,-2.00354
-0.625821,0.235663,-2.01145
-0.613281,0.237368,-2.01099
-0.613281,0.235851,-2.00331
-0.610941,0.235663,-2.01145
-0.610185,0.233641,-2.0039
-0.14977,0.235663,-2.01145
-0.144531,0.234619,-2.00756
-0.136922,0.233641,-2.0039
-0.136719,0.233911,-2.00383
-0.128906,0.239626,-2.0023
-0.0898438,0.238479,-2.00261
-0.0834994,0.233641,-2.0039
-0.0820313,0.233705,-2.00414
-0.0742188,0.234338,-2.00651
-0.0664063,0.234852,-2.00842
-0.0585938,0.235535,-2.01098
-0.0567816,0.235663,-2.01145
0.00657126,0.235663,-2.01145
0.0117188,0.235301,-2.0101
0.0195313,0.234942,-2.00876
0.0273438,0.23482,-2.00831
0.0351563,0.234602,-2.00749
0.0429688,0.234394,-2.00672
0.0507813,0.234211,-2.00603
0.0585938,0.234259,-2.00621
0.0664063,0.234427,-2.00684
0.0742188,0.234977,-2.00889
0.0742188,0.242039,-2.00974
0.0820313,0.235577,-2.01113
0.0820313,0.236769,-2.01115
0.0829232,0.235663,-2.01145
-0.644531,0.22978,-2.01303
-0.647647,0.226094,-2.00593
-0.644531,0.227502,-2.00555
-0.647391,0.228116,-2.01347
-0.636719,0.232155,-2.01239
-0.636719,0.229709,-2.00496
-0.628906,0.233508,-2.01203
-0.628906,0.231039,-2.0046
-0.621138,0.228116,-2.01347
-0.621464,0.226094,-2.00593
-0.621094,0.228186,-2.01345
-0.621094,0.227147,-2.00564
-0.613281,0.233004,-2.01216
-0.613281,0.230922,-2.00463
-0.155334,0.228116,-2.01347
-0.152344,0.227772,-2.01219
-0.152344,0.231079,-2.01268
-0.144531,0.226347,-2.00687
-0.14225,0.226094,-2.00593
-0.0820313,0.232547,-2.0042
-0.0761734,0.226094,-2.00593
-0.0742188,0.226213,-2.00637
-0.0664063,0.226963,-2.00917
-0.0585938,0.227851,-2.01248
-0.0563938,0.228116,-2.01347
0.00460659,0.228116,-2.01347
0.0117188,0.227419,-2.01087
0.0195313,0.227103,-2.00969
0.0273438,0.226851,-2.00875
0.0351563,0.226523,-2.00752
0.0429688,0.226228,-2.00643
0.0491148,0.226094,-2.00593
0.0507813,0.226544,-2.00581
0.0524592,0.226094,-2.00593
0.0585938,0.226224,-2.00641
0.0664063,0.226509,-2.00747
0.0742188,0.226771,-2.00845
0.0820313,0.226972,-2.0092
0.0898438,0.227901,-2.01267
0.0898438,0.230249,-2.0129
0.0914133,0.228116,-2.01347
-0.660156,0.225096,-2.01428
-0.663931,0.218548,-2.00795
-0.660156,0.222443,-2.0069
-0.666145,0.22057,-2.01549
-0.652344,0.225031,-2.0143
-0.652344,0.223989,-2.00649
-0.629335,0.22057,-2.01549
-0.628906,0.220841,-2.01542
-0.628906,0.220369,-2.01474
-0.627616,0.218548,-2.00795
-0.157358,0.22057,-2.01549
-0.152344,0.219507,-2.01153
-0.147194,0.218548,-2.00795
-0.144531,0.223511,-2.00662
-0.0742188,0.224279,-2.00641
-0.0707786,0.218548,-2.00795
-0.0664063,0.218986,-2.00958
-0.0585938,0.220029,-2.01347
-0.0542577,0.22057,-2.01549
0.00317205,0.22057,-2.01549
0.00390625,0.220462,-2.01509
0.00390625,0.225098,-2.01428
0.0117188,0.219685,-2.01219
0.0195313,0.219211,-2.01042
0.0273438,0.218712,-2.00856
0.0304861,0.218548,-2.00795
0.0351563,0.221524,-2.00715
0.0429688,0.224372,-2.00639
0.0585938,0.224332,-2.0064
0.0664063,0.220956,-2.0073
0.0722301,0.218548,-2.00795
0.0742188,0.218615,-2.0082
0.0820313,0.218836,-2.00902
0.0898438,0.219499,-2.0115
0.0976563,0.220507,-2.01526
0.0976563,0.221146,-2.01534
0.0979602,0.22057,-2.01549
-0.676072,0.213024,-2.01752
-0.675781,0.212155,-2.01428
-0.675781,0.213423,-2.01741
-0.675073,0.211002,-2.00997
-0.667969,0.214933,-2.00892
-0.667969,0.21884,-2.01596
-0.636829,0.213024,-2.01752
-0.636719,0.213277,-2.01745
-0.636719,0.212994,-2.0174
-0.62934,0.211002,-2.00997
-0.628906,0.212545,-2.00956
-0.159655,0.213024,-2.01752
-0.152344,0.211308,-2.01111
-0.150769,0.211002,-2.00997
-0.0664063,0.214228,-2.00911
-0.0643508,0.211002,-2.00997
-0.0585938,0.211867,-2.0132
-0.0507813,0.212946,-2.01723
-0.0507813,0.214366,-2.01716
-0.0503712,0.213024,-2.01752
0.00179948,0.213024,-2.01752
0.00390625,0.212773,-2.01658
0.0117188,0.212065,-2.01394
0.0195313,0.211389,-2.01142
0.0248139,0.211002,-2.00997
0.0273438,0.21505,-2.00889
0.0742188,0.218072,-2.00808
0.0820313,0.215646,-2.00873
0.0873085,0.211002,-2.00997
0.0898438,0.211263,-2.01094
0.0976563,0.21241,-2.01523
0.100812,0.213024,-2.01752
-0.687407,0.205477,-2.01954
-0.683594,0.203928,-2.01376
-0.683594,0.206167,-2.01935
-0.683026,0.203455,-2.01199
-0.675781,0.210126,-2.01021
-0.637944,0.205477,-2.01954
-0.636719,0.204943,-2.01754
-0.633477,0.203455,-2.01199
-0.165022,0.205477,-2.01954
-0.160156,0.204976,-2.01767
-0.160156,0.211381,-2.01796
-0.154023,0.203455,-2.01199
-0.152344,0.207486,-2.01091
-0.0585938,0.203943,-2.01381
-0.0627776,0.203455,-2.01199
-0.0507813,0.205144,-2.0183
-0.0489072,0.205477,-2.01954
-9.83942e-05,0.205477,-2.01954
0.00390625,0.205056,-2.01797
0.0117188,0.204316,-2.0152
0.0195313,0.203776,-2.01319
0.0235267,0.203455,-2.01199
0.0898438,0.20844,-2.01066
0.092946,0.203455,-2.01199
0.0976563,0.204115,-2.01445
0.105469,0.205453,-2.01945
0.105469,0.205699,-2.01948
0.105579,0.205477,-2.01954
-0.683594,0.203765,-2.02
-0.675781,0.197534,-2.02008
-0.678837,0.195909,-2.01401
-0.675781,0.198779,-2.02133
-0.674173,0.197931,-2.02156
-0.644531,0.201717,-2.02055
-0.644531,0.197195,-2.01367
-0.646267,0.195909,-2.01401
-0.649982,0.197931,-2.02156
-0.636719,0.199461,-2.01306
-0.166978,0.197931,-2.02156
-0.160156,0.196723,-2.01705
-0.157098,0.195909,-2.01401
-0.0585938,0.196241,-2.01393
-0.0584437,0.195909,-2.01401
-0.0507813,0.197126,-2.01856
-0.0458508,0.197931,-2.02156
-0.000770767,0.197931,-2.02156
0.00390625,0.197429,-2.01969
0.0117188,0.196562,-2.01645
0.0180627,0.195909,-2.01401
0.0195313,0.19822,-2.0134
0.0976563,0.19662,-2.01382
0.0979609,0.195909,-2.01401
0.105469,0.197342,-2.01936
0.108349,0.197931,-2.02156
-0.675781,0.1942,-2.01447
-0.667969,0.194483,-2.02248
-0.667969,0.193472,-2.01467
-0.660156,0.196603,-2.02192
-0.660156,0.191256,-2.01526
-0.652344,0.194718,-2.02242
-0.652344,0.193926,-2.01455
-0.168747,0.190385,-2.02358
-0.167969,0.190154,-2.02272
-0.167969,0.194118,-2.02258
-0.160156,0.188666,-2.01717
-0.159022,0.188363,-2.01604
-0.0507813,0.189068,-2.01867
-0.0566191,0.188363,-2.01604
-0.0431698,0.190385,-2.02358
-0.00155257,0.190385,-2.02358
0.00390625,0.189737,-2.02117
0.0117188,0.188869,-2.01792
0.0175221,0.188363,-2.01604
0.105469,0.189128,-2.01889
0.101803,0.188363,-2.01604
0.110611,0.190385,-2.02358
-0.170646,0.182839,-2.0256
-0.167969,0.182252,-2.02342
-0.162447,0.180816,-2.01806
-0.160156,0.18509,-2.01691
-0.0507813,0.181259,-2.01971
-0.0546971,0.180816,-2.01806
-0.0429688,0.182448,-2.02415
-0.0429688,0.189848,-2.02373
-0.0403392,0.182839,-2.0256
-0.00146407,0.182839,-2.0256
0.00390625,0.182257,-2.02343
0.0117188,0.181359,-2.02008
0.0170789,0.180816,-2.01806
0.105469,0.180924,-2.01846
0.104899,0.180816,-2.01806
0.113281,0.18279,-2.02542
0.113281,0.183436,-2.02544
0.113447,0.182839,-2.0256
-0.170501,0.175292,-2.02763
-0.167969,0.174441,-2.02445
-0.164787,0.17327,-2.02008
-0.0507813,0.173313,-2.02024
-0.0510543,0.17327,-2.02008
-0.0429688,0.174656,-2.02525
-0.0389149,0.175292,-2.02763
0.00114516,0.175292,-2.02763
0.00390625,0.174961,-2.02639
0.0117188,0.173874,-2.02233
0.016468,0.17327,-2.02008
0.105469,0.178672,-2.01863
0.106542,0.17327,-2.02008
0.113281,0.174851,-2.02598
0.114822,0.175292,-2.02763
-0.171582,0.167746,-2.02965
-0.167969,0.166372,-2.02452
-0.166351,0.165724,-2.0221
-0.0507813,0.172625,-2.02025
-0.0483593,0.165724,-2.0221
-0.0429688,0.166793,-2.02609
-0.0383825,0.167746,-2.02965
0.00218326,0.167746,-2.02965
0.00390625,0.167529,-2.02884
0.0117188,0.166508,-2.02503
0.0172393,0.165724,-2.0221
0.113281,0.166835,-2.02625
0.10885,0.165724,-2.0221
0.116266,0.167746,-2.02965
-0.171548,0.1602,-2.03167
-0.167969,0.158672,-2.02597
-0.166681,0.158178,-2.02412
-0.0429688,0.159005,-2.02721
-0.0465843,0.158178,-2.02412
-0.0378815,0.1602,-2.03167
0.00358219,0.1602,-2.03167
0.00390625,0.16015,-2.03149
0.0117188,0.159116,-2.02763
0.0180555,0.158178,-2.02412
0.113281,0.158942,-2.02698
0.110141,0.158178,-2.02412
0.117748,0.1602,-2.03167
-0.171719,0.152653,-2.03369
-0.167969,0.151034,-2.02765
-0.16687,0.150631,-2.02615
-0.0429688,0.151137,-2.02804
-0.0449351,0.150631,-2.02615
-0.0379151,0.152653,-2.03369
0.00375144,0.152653,-2.03369
0.00390625,0.152625,-2.03359
0.0117188,0.151518,-2.02946
0.0175579,0.150631,-2.02615
0.113281,0.151057,-2.02773
0.11176,0.150631,-2.02615
0.118277,0.152653,-2.03369
-0.171717,0.145107,-2.03572
-0.167969,0.143224,-2.02869
-0.167605,0.143085,-2.02817
-0.0429688,0.14333,-2.02908
-0.0437816,0.143085,-2.02817
-0.0382621,0.145107,-2.03572
0.00390625,0.151801,-2.03392
0.00530664,0.145107,-2.03572
0.0117188,0.143968,-2.03147
0.0165615,0.143085,-2.02817
0.113281,0.143972,-2.02793
0.113408,0.143085,-2.02817
0.118628,0.145107,-2.03572
-0.168177,0.135539,-2.03019
-0.167969,0.138789,-2.02932
-0.171844,0.137561,-2.03774
-0.0429688,0.139014,-2.02926
-0.0423732,0.135539,-2.03019
-0.0364992,0.137561,-2.03774
